collection,resource,theme_en,theme_es,indicator,label_en,label_es,description_en,description_es,valuetype
Population and Housing Censuses,Population and Housing Censuses,income,ingreso,pobreza31_PHC,Extreme poverty: percentage of the population with incomes less than $ 31 per capita a day (Census),Pobreza extrema: Porcentaje de la población con ingresos debajo de $31 per capita por día (Censo),"
Percentage of the population with incomes less than $ 31 per capita a day ($ PPP)  (Census)",Porcentage de la poblacion que vive en hogares con ingresos por persona inferiores a $31 per cápita por día (en $ PPP) (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,income,ingreso,pobreza_PHC,Poverty: percentage of the population with incomes less than $ 50 per capita a day (Census),Pobreza: Porcentaje de la población con ingresos debajo de $50 per capita por día (Censo),Percentage of the population with incomes less than $ 50 per capita a day ($ PPP) (Census),Porcentage de la poblacion que vive en hogares con ingresos por persona inferiores a $50 per cápita por día  (en $ PPP) (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,income,ingreso,vulnerable_PHC,Vulnerable population: percentage of the population with incomes between $ 5 and $ 124 per capita a day (Census),Población vulnerable: Porcentaje de la población con ingresos entre $5 y $124 per capita por día (Censo),Percentage of the population with incomes between $ 5 and $ 124 per capita a day ($ PPP) (Census),Porcentage de la poblacion que vive en hogares con ingresos por persona entre $5 y $124 per cápita por día (en $ PPP) (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,income,ingreso,middle_PHC,Middle-class population: percentage of the population with incomes between $ 124 and $ 62 per capita a day (Census),Población de clase media: Porcentaje de la población con ingresos entre $124 y $62 per capita por día (Censo),Percentage of the population with incomes between $ 124 and $ 62 per capita a day ($ PPP) (Census),Porcentage de la poblacion que vive en hogares con ingresos por persona entre $124 y $62 per cápita por día (en $ PPP) (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,income,ingreso,rich_PHC,Rich population: percentage of the population with income above $ 62 per capita a day (Census),Población rica: Porcentaje de la población con ingresos arriba de $62 per capita por día (Censo),Percentage of the population with income above $ 62 per capita a day ($ PPP) (Census),Porcentage de la poblacion que vive en hogares con ingresos por persona mayores a $62 per cápita por día (en $ PPP) (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,income,ingreso,ylmfem_ch_PHC,Percentage of household labor income contributed by women (Census),Porcentaje del ingreso laboral del hogar contribuido por las mujeres (Censo),Percentage of total household labor income received by women This indicator considers only the adult members of the household (18 years and older) (Census),Porcentaje del ingreso laboral total del hogar percibido por mujeres. Este indicador considera únicamente a los miembros adultos del hogar (de 18 años en adelante)  (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,income,ingreso,ginihh_PHC,Gini index for household per capita income (Census),Coeficiente de Gini para el ingreso per cápita del hogar (Censo),Gini index for household per capita income (Census),Coeficiente de Gini para el ingreso per cápita del hogar (Censo),index
Population and Housing Censuses,Population and Housing Censuses,education,educacion,Ninis_2_PHC,"Share of young people who are not in employment, education or training-NEET (Census)",Proporción de jovenes que no estudian ni trabajan - NiNis (Censo),"Share population aged between 15-24 who are not in employment or pursue one (labor inactivity as defined by the ILO), education, or training (Census)","Jóvenes de entre 15 y 24 (15-29) años en condicion de inactividad laboral (bajo la definición de la Organización Internacional del Trabajo), y tampoco están estudiando (Censo)",pct
Population and Housing Censuses,Population and Housing Censuses,education,educacion,leavers_PHC,Early leavers Share (Census),Tasa de abandono escolar temprano (Censo),Percetage of the people aged 18 to 24 who has completed at most lower secondary education and is not involved in further education or training out of the total population aged 18 to 24 (Census),Proporción de jóvenes entre los 18-24 años que terminaron hasta secundaria baja como máximo nivel educativo logrado (9 años de educación) y no están asistiendo a ningún nivel de educación (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,migration,migracion,migrante_ci_PHC,Percentage of migrants in population (Census),Porcentaje de migrantes en la población  (Censo),This indicator distinguishes those individuals (natives and migrants) who reside permanently in the country at the time of the survey (Census),Este indicado distingue entre aquellos individuos (nativos y migrantes) que residen de forma permanente en el país al momento de la encuesta (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,migration,migracion,migantiguo5_ci_PHC,"Percentage of migrants residing in country for 5 or more years, it's calculated over the whole population (Census)","Porcentaje de migrantes antiguos residiendo en el pais, es calculado sobre el total de la población (Censo)",Percentage of migrants who have lived in the country for 5 or more consecutive years This indicator measures the percentage of former migrants within the country An old migrant is someone who has lived in the country of the survey for at least 5 years It's calculated over the whole population (Census),Porcentaje de migrantes que llevan viviendo en el país de la encuesta por 5 o más años consecutivos. Este indicador mide el porcentaje de migrante antiguos dentro del país. Se considera migrante antiguo aquellos que llevan al menos 5 años viviendo en el país de la encuesta. Es calculado sobre el total de la población (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,migration,migracion,migrantelac_ci_PHC,"Percentage of migrants from Latin Amarica residing in the country, it's calculated over the whole population (Census)","Porcentaje de migrantes latinoamericanos en el pais, es calculado sobre el total de la población (Censo)",Percentage of migrants of Latin American origin present in the country This indicator considers only migrants from Latin America and the Caribbean It's calculated over the whole population (Census),Porcentaje de migrantes de origen latinoamericano presentes en el país. Este indicador considera únicamente los migrantes procedentes de América Latina y el Caribe Es calculado sobre el total de la población (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,diversity,diversidad,pafro_ci_PHC,Percentage of Afro-descendant population (Census),Porcentaje población afrodescendiente (Censo),Percentage of people that self-identify as Afro-descendant based on the national classification  (Census),Porcentaje de personas que se auto-identifican como afrodescendientes según la clasificación del país  (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,diversity,diversidad,pindi_ci_PHC,Percenage of indigenous population (Census),Porcentaje población indígena (Censo),Percentage of people that self-identify as indigenous based on the national classification  (Census),Porcentaje de personas que se auto-identifican como indígenas según la clasificación nacional  (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,diversity,diversidad,pnoafronoindi_ci_PHC,"Percentage of non-afro, non-indigenous population  (Census)",Porcentaje población ni Afrodescendiente ni indígena (Censo),Percentage of people that do not self-identify as either Afro-descendants or indigenous based on the national classification (Census),Porcentaje de personas que no se auto-identifican como afrodescendients o indígenas según la clasificación nacional (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,diversity,diversidad,pjefe_afro_ch_PHC,Percentage of households with Afro-descendant household head  (Census),Porcentaje de hogares con jefatura afrodescendiente (Censo),Percentage of households where the household head self-identifies as Afro-descendant  (Census),Porcentaje de hogares donde el jefe de hogar se auto-identifica como afrodescendiente  (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,diversity,diversidad,pjefe_indi_ch_PHC,Percentage of households with indigenous household head  (Census),Porcentaje de hogares con jefatura indígena (Censo),Percentage of households where the household head self-identifies as indigenous (Census),Porcentaje de hogares donde el jefe de hogar se auto-identifica como indígena  (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,diversity,diversidad,pjefe_noafronoindi_ch_PHC,"Percentage of households with non-afro, non-indigenous household head  (Census)",Porcentaje de hogares con jefatura ni afrodescendiente ni indígena (Censo),Percentage of households where the household head does not self-identify as Afro-descendant or indigenous  (Census),Porcentaje de hogares donde el jefe de hogar no se auto-identifica como afrodescendiente o indígena  (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,diversity,diversidad,nafro_ci_PHC,Afro-descendant population (Census),Número de afrodescendientes (Censo),Number of people that self-identify as Afro-descendant based on the national classification  (Census),Número de personas que se auto-identifican como afrodescendientes según la clasificación del país  (Censo),level
Population and Housing Censuses,Population and Housing Censuses,diversity,diversidad,nindi_ci_PHC,Indigenous population (Census),Número de indígenas (Censo),Number of people that self-identify as indigenous based on the national classification  (Census),Número de personas que se auto-identifican como indígenas según la clasificación nacional  (Censo),level
Population and Housing Censuses,Population and Housing Censuses,diversity,diversidad,nnoafronoindi_ci_PHC,"Non-afro, non-indigenous population  (Census)",Número de personas ni Afrodescendiente ni indígena (Censo),Number of people that do not self-identify as either Afro-descendants or indigenous based on the national classification (Census),Número de personas que no se auto-identifican como afrodescendients o indígenas según la clasificación nacional (Censo),level
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_independientes_PHC,Self-employed workers (in%) (Self-employment rate) (Census),Trabajadores por cuenta propia (en %) (Tasa de autoempleo) (Censo),"It is the percentage that results from the quotient between the total number of self-employed workers and the total employed population Self-employed workers are understood to be employees who work in their own company, or practice their profession independently and do not hire employees (Census)","Es el porcentaje que resulta del cociente entre el total de trabajadores por cuenta propia y el total de la población ocupada. Se entiende por trabajadores por cuenta propia a los empleados que trabajan en su propia empresa, o ejercen su profesión de forma independiente y no contratan empleados (Censo)",pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_transporte_PHC,Workers in the transport and storage sector (in%) (Census),Trabajadores en sector transporte y almacenamiento (en %) (Censo),It is the percentage that results from the quotient between the total of employed persons who carry out their activities in the transport and storage sector and the total of employed persons (Census),Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector de transporte y almacenamiento y el total de ocupados (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_industria_PHC,Workers in the industrial sector (in%) (Census),Trabajadores en sector industrial (en %) (Censo),It is the percentage that results from the quotient between the total number of employed persons who carry out their activities in the industrial sector and the total number of employed persons (Census),Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector industrial y el total de ocupados (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_financiero_PHC,Workers in the financial sector (in%) (Census),Trabajadores en sector financiero (en %) (Censo),It is the percentage that results from the quotient between the total number of employed persons who carry out their activities in the financial sector and the total number of employed persons (Census),Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector financiero y el total de ocupados (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_servicios_PHC,Workers in the service sector (in%) (Census),Trabajadores en sector de servicios (en %) (Censo),It is the percentage that results from the quotient between the total number of employed persons who carry out their activities in the service sector and the total number of employed persons (Census),Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector de servicios y el total de ocupados (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_independientes_PHC,Self-employed (in levels) (Census),Trabajadores por cuenta propia (en niveles) (Censo),"Indicates the number of self-employed workers Self-employed workers are understood to be employees who work in their own company, or practice their profession independently and do not hire employees (Census)","Indica la cantidad de trabajadores por cuenta propia Se entiende por trabajadores por cuenta propia a los empleados que trabajan en su propia empresa, o ejercen su profesión de forma independiente y no contratan empleados (Censo)",level
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_minas_PHC,Workers in the mining and quarrying sector (in%) (Census),Trabajadores en sector de explotación de minas y canteras (en %) (Censo),It is the percentage that results from the quotient between the total number of employed persons who carry out their activities in the mining and quarrying sector and the total number of persons employed (Census),Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector de minas y canteras y el total de ocupados (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_transporte_PHC,Workers in the transport and storage sector (in levels) (Census),Trabajadores en sector transporte y almacenamiento (en niveles) (Censo),Number of employed persons who carry out their activities in the transport and storage sector (Census),Cantidad de ocupados que desempeñan sus actividades en el sector de transporte y almacenamiento (Censo),level
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_sspublicos_PHC,"Workers in the electricity, gas and water sector (in%) (Census)","Trabajadores en sector de electricidad, gas y agua (en %) (Censo)","It is the percentage that results from the quotient between the total of employed persons who carry out their activities in the electricity, gas and water sector and the total of employed persons (Census)","Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector de electricidad, gas y agua y el total de ocupados (Censo)",pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_industria_PHC,Workers in industrial sector (in levels) (Census),Trabajadores en sector industrial (en niveles) (Censo),Number of employed persons who carry out their activities in the industrial sector (Census),Cantidad de ocupados que desempeñan sus actividades en el sector industrial (Censo),level
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_construccion_PHC,Workers in the construction sector (in%) (Census),Trabajadores en sector construcción (en %) (Censo),It is the percentage that results from the quotient between the total number of employed persons who carry out their activities in the construction sector and the total number of employed persons (Census),Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector construcción y el total de ocupados (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_financiero_PHC,Workers in the financial sector (in levels) (Census),Trabajadores en sector financiero (en niveles) (Censo),Number of employed persons who carry out their activities in the financial sector (Census),Cantidad de ocupados que desempeñan sus actividades en el sector financiero (Censo),level
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_comercio_PHC,"Workers in the commerce, restaurant and hotel sectors (in%) (Census)","Trabajadores en sector comercio, restaurantes y hoteles (en %) (Censo)","It is the percentage that results from the quotient between the total number of employed persons who carry out their activities in the commerce, restaurant and hotel sectors and the total number of employed persons (Census)","Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector comercio, restaurantes y hoteles y el total de ocupados (Censo)",pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_servicios_PHC,Workers in the service sector (in levels) (Census),Trabajadores en sector de servicios (en niveles) (Censo),Number of employed persons who carry out their activities in the service sector (Census),Cantidad de ocupados que desempeñan sus actividades en el sector de servicios (Censo),level
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_agro_PHC,Workers in the agricultural sector (in%) (Census),Trabajadores en el sector agrícola (en %) (Censo),It is the percentage that results from the quotient between the total number of employed persons who carry out their activities in the agricultural sector and the total number of employed persons (Census),Es el porcentaje que resulta del cociente entre el total de ocupados que desempeñan sus actividades en el sector agrícola y el total de ocupados (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_minas_PHC,Workers in the mining and quarrying sector (in levels) (Census),Trabajadores en sector de explotación de minas y canteras (en niveles) (Censo),Number of employed persons who carry out their activities in the mining and quarrying sector (Census),Cantidad de ocupados que desempeñan sus actividades en el sector de minas y canteras (Censo),level
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_sspublicos_PHC,"Workers in the electricity, gas and water sector (in levels) (Census)","Trabajadores en sector de electricidad, gas y agua (en niveles) (Censo)","Number of employed persons who carry out their activities in the electricity, gas and water sector (Census)","Cantidad de ocupados que desempeñan sus actividades en el sector de electricidad, gas y agua (Censo)",level
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_asalariados_PHC,Salaried workers in the main occupation (in%) (Salary rate) (Census),Trabajadores asalariados en la ocupación principal (en %) (Tasa de asalarización) (Censo),It is the percentage that results from the quotient between the number of workers who work according to occupational category as wage earners (or workers in a dependency relationship) in their main activity and the total number of employed persons (Census),Es el porcentaje que resulta del cociente entre la cantidad de trabajadores que se desempeñan según categoría ocupacional como asalariados (o trabajadores en relación de dependencia) en su actividad principal y el total de ocupados (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_construccion_PHC,Workers in the construction sector (in levels) (Census),Trabajadores en sector construcción (en niveles) (Censo),Number of employed persons who carry out their activities in the construction sector (Census),Cantidad de ocupados que desempeñan sus actividades en el sector construcción (Censo),level
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_sinremuneracion_PHC,Employed without pay (in%) (Census),Ocupados sin remuneración (en %) (Censo),It is the percentage that results from the quotient between the total of employed persons without remuneration (family members or non-relatives) and the total of employed persons (Census),Es el porcentaje que resulta del cociente entre el total de los ocupados sin remuneración (familiares o no familiares) y el total e los ocupados (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_comercio_PHC,"Workers in the commerce, restaurant and hotel sectors (in levels) (Census)","Trabajadores en sector comercio, restaurantes y hoteles (en niveles) (Censo)","Number of employed persons who carry out their activities in the commerce, restaurants and hotels sector (Census)","Cantidad de ocupados que desempeñan sus actividades en el sector comercio, restaurantes y hoteles (Censo)",level
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_agro_PHC,Workers in the agricultural sector (in levels) (Census),Trabajadores en el sector agrícola (en niveles) (Censo),Number of employed persons who carry out their activities in the agricultural sector (Census),Cantidad de ocupados que desempeñan sus actividades en el sector agrícola (Censo),level
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_patrones_PHC,Employers in the main activity (in%) (Census),Empleados patrones (empleadores) en la actividad principal (en %) (Censo),It is the percentage that results from the quotient between the number of workers who work according to occupational category as employers (or employers) in their main activity and the total number of employed persons (Census),Es el porcentaje que resulta del cociente entre la cantidad de trabajadores que se desempeñan según categoría ocupacional como patrones (o empleadores) en su actividad principal y el total de ocupados (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,empleo_publico_PHC,Employees in the public sector (in%) (Census),Empleados en el sector público (en %) (Censo),It is the percentage that results from the quotient between the number of workers employed in the public sector at any level of government and the total number of employed workers (Census),Es el porcentaje que resulta del cociente entre la cantidad de trabajadores empleados en el sector público en cualquier nivel de gobierno y el total de trabajadores ocupados (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_asalariados_PHC,Salaried workers in main occupation (in levels) (Census),Trabajadores asalariados en la ocupación principal (en niveles) (Censo),Indicates the number of workers who work according to occupational category as wage earners (or workers in a dependency relationship) in their main activity (Census),Indica la cantidad de trabajadores que se desempeñan según categoría ocupacional como asalariados (o trabajadores en relación de dependencia) en su actividad principal (Censo),level
Population and Housing Censuses,Population and Housing Censuses,health,health,discapacidad_ci_PHC,People living with a disability  (in%) (Census),Condición de discapacidad del individuo (Censo),It is the percentage that results from the quotient between the number of people that report having a disability and the total population,Es el porcentaje que resulta de dividir el número de personas que viven con alguna discapacidad y el número total de personas en la población,pct
Population and Housing Censuses,Population and Housing Censuses,health,health,mudez_ci_PHC,Mute or speech impaired (in%) (Census),Condición de mudez o discapacidad de lenguaje del individuo (Censo),It is the percentage that results from the quotient between the number of people that report being mute or speech-impaired and the total population,Es el porcentaje que resulta de dividir el número de personas que reportan ser mudos y el número total de personas en la población,pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,ingreso_mens_prom_PHC,Average total monetary earned income in the last month (Census),Promedio de ingreso laboral monetario total en el último mes (Censo),Indicates the average monthly amount of monetary earned income from all occupations in the last month The indicator is expressed in local currency at current values (Census),Indica el monto mensual promedio del ingreso laboral monetario de todas las ocupaciones en el último mes El indicador es expresado en moneda local en valores corrientes (Censo),dispersion
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_sinremuneracion_PHC,Employed without pay (in levels) (Census),Ocupados sin remuneración (en niveles) (Censo),Indicates the total amount employed without pay (relatives or non-relatives) (Census),Indica la cantidad total ocupados sin remuneración (familiares o no familiares) (Censo),level
Population and Housing Censuses,Population and Housing Censuses,health,health,dismental_ci_PHC,Mental disability (in%) (Census),Condición de discapacidad mental (Censo),It is the percentage that results from the quotient between the number of people that report having a mental disability and the total population,Es el porcentaje que resulta de dividir el número de personas que reportan tener alguna discapacidad mental y el número total de personas en la población,pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,nivel_patrones_PHC,Employers in the main activity (in levels) (Census),Empleados patrones (empleadores) en la actividad principal (en niveles) (Censo),Indicates the number of workers who work according to occupational category as employers (or employers) in their main activity (Census),Indica la cantidad de trabajadores que se desempeñan según categoría ocupacional como patrones (o empleadores) en su actividad principal (Censo),level
Population and Housing Censuses,Population and Housing Censuses,education,educacion,tasa_neta_asis_PHC,Net attendance rate (Census),Tasa neta de asistencia escolar  (Censo),Percentage of the official education-level-age population that attends certain education level (Census),"Número de estudiantes que asiste a la escuela y que tiene la edad correspondiente al nivel al cual asiste, expresado como porcentaje de la población total de ese grupo de edad (Censo)",pct
Population and Housing Censuses,Population and Housing Censuses,education,educacion,tasa_bruta_asis_PHC,Gross attendance rate (Census),Tasa bruta de asistencia escolar (Censo),Total number of students attending certain educational level - regardless of age - expressed as a percentage of the official level-age population (Census),Número de estudiantes que asisten al nivel educativo específico dividido por la población del grupo de edad teóricamente correspondiente a ese nivel (Censo),rate
Population and Housing Censuses,Population and Housing Censuses,education,educacion,tasa_asis_edad_PHC,Attenadance rate by age (Census),Tasa de asistencia escolar por grupos etarios (Censo),Share of the population of a specific age (between 4-23) that attend school  (Census),"Niños y jóvenes de una determinada edad (entre 4 y 23 años) que asisten a la escuela, expresado como porcentaje de todos los niños y jóvenes de dicha edad (Censo)",pct
Population and Housing Censuses,Population and Housing Censuses,education,educacion,tasa_no_asis_edad_PHC,Unattenadance rate by age (Census),Tasa de no asistencia escolar por grupos etarios (Censo),Share of the population of a specific age (between 4-23) out of school  (Census),Niños y jóvenes en un determinando rango de edad (entre 4 y 23 años) que no asisten a la escuela como porcentaje del total de niños en dicho rango de edad (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,education,educacion,tasa_sobre_edad_PHC,Overage school attendance share (Census),Tasa de sobreedad (Censo),Percentage of young people attending primary education who are two or more years older than the theoretical attendance age of their level (Census),"Porcentaje de estudiantes asistentes a educación primaria dos o más años mayores a la edad teórica del grado que están asistiendo, sobre el total de estudiantes de primaria (Censo)",rate
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_participacion_PHC,Global participation rate (Census),Tasa global de participación  (Censo),"It is the percentage that results from the quotient between the total economically active persons and the population of working age The economically active population is established according to the homogeneous definition of the System of Labor Market and Social Security Indicators (SIMS) An economically active person is understood to be those who are employed or unemployed The working-age population is established as the lower age limit, the age determined in the survey from which the questions in the employment section are asked (Census)",Es el porcentaje que resulta del cociente entre el total personas economicamente activas y la población en edad de trabajar La población económicamente activa se establece de acuerdo a la definición homogenea del Sistema de Indicadores de Mercado Laboral y Seguridad Social (SIMS) Se entiende como persona económicamente activa a aquellos que se encuentran ocupados o desocupados La población en edad de trabajar se establece como edad limite inferior la edad determinada en la encuesta a partir de la cual se realizan las preguntas de la sección empleo (Censo),pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_ocupacion_PHC,Occupancy rate (Census),Tasa de ocupación  (Censo),"It is the percentage that results from the quotient between the total employed persons and the population of working age The employed population is established according to the homogeneous definition of the SIMS Employed under this definition is understood to be those people who have worked at least one hour in the reference period (generally the last week or the last month if the survey asks for the week), or who, having a job, have not worked for extraordinary reasons (sick leave, strike, vacation, etc) The working-age population is established as the lower age limit, the age determined in the survey from which the questions in the employment section are asked (Census)","Es el porcentaje que resulta del cociente entre el total personas ocupadas y la población en edad de trabajar. La población ocupada se establece de acuerdo a la definición homogenea del SIMS. Se entiende como ocupado bajo esta definición a aquellas personas que han trabajado al menos una hora en el periodo de referencia (generalmente la última semana o el último mes si la encuesta pregunta por la semana), o que teniendo empleo no han trabajado por razones extraordinarias (licencia por enfermedad, huelga, vacaciones, etc) La población en edad de trabajar se establece como edad limite inferior la edad determinada en la encuesta a partir de la cual se realizan las preguntas de la sección empleo (Censo)",pct
Population and Housing Censuses,Population and Housing Censuses,labor market,mercado laboral,tasa_desocupacion_PHC,Unemployment rate (Census),Tasa de desocupacion (Censo),"It is the percentage that results from the quotient between the total unemployed persons and the economically active population Unemployed (openly unemployed) is understood to be those who did not work for at least one hour in the reference period, but are available for work and have taken specific steps to find work The economically active population refers to the sum of the employed and the unemployed population (Census)","Es el porcentaje que resulta del cociente entre el total personas desocupadas y la población económicamente activa Se entiende como desocupado (desempleado abierto) a aquellos que no trabajaron al menos una hora en el periodo de referencia, pero están disponibles para trabajar y han realizado gestiones concretas para encontrar trabajo La población económicamente activa se refiere a la suma de la población ocupada y la desocupada (Censo)",pct
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,che_per_gdp,CHE as % Gross domestic product (GDP),CHE como% del producto interno bruto (PIB),Current health expenditures (CHE) as % Gross domestic product (Gross Domestic Product (GDP)),Gasto corriente en salud (CHE) como% del producto interno bruto (Producto interno bruto (PIB)),pct
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,che_pc_ppp,CHE in constant (2018) PPP per capita,CHE en PPA per cápita constante (2018),Current health expenditures (CHE) in constant (2018) PPP per capita,Gasto corriente en salud (CHE) en PPA per cápita constante (2018),number
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,che_pc_us,CHE in constant (2018) US$ per capita,CHE en dólares constantes (2018) US $ per cápita,Current health expenditures (CHE) in constant (2018) US$ per capita,Gasto corriente en salud (CHE) en dólares estadounidenses constantes (2018) per cápita,number
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,che_ppp,CHE in million constant (2018) PPP,CHE en millones PPA constante (2018),Current health expenditures (CHE) in million constant (2018) PPP,Gasto corriente en salud (CHE) en millones PPA constante (2018),number
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,che_us,CHE in million constant (2018) US$,CHE en millones constante (2018) US $,Current health expenditures (CHE) in million constant (2018) US$,Gasto corriente en salud (CHE) en millones constante (2018) US $,number
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,gdp_per_gdp,GDP as % Gross domestic product (GDP),PIB como% del producto interno bruto (PIB),Gross Domestic Product (GDP) as % Gross domestic product (Gross Domestic Product (GDP)),Producto interno bruto (PIB) como% del producto interno bruto (Producto interno bruto (PIB)),pct
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,gdp_pc_ppp,GDP in constant (2018) PPP per capita,PIB en PPA per cápita constante (2018),Gross Domestic Product (GDP) in constant (2018) PPP per capita,Producto Interno Bruto (PIB) en PPA per cápita constante (2018),number
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,gdp_pc_us,GDP in constant (2018) US$ per capita,PIB en dólares estadounidenses constantes (2018) per cápita,Gross Domestic Product (GDP) in constant (2018) US$ per capita,Producto interno bruto (PIB) en dólares estadounidenses constantes (2018) per cápita,number
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,gdp_ppp,GDP in million constant (2018) PPP,PIB en millones PPA constante (2018),Gross Domestic Product (GDP) in million constant (2018) PPP,Producto Interno Bruto (PIB) en millones PPA constante (2018),number
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,gdp_us,GDP in million constant (2018) US$,PIB en millones constante (2018) US $,Gross Domestic Product (GDP) in million constant (2018) US$,Producto Interno Bruto (PIB) en millones de dólares constantes (2018),number
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,gge_per_gdp,GGE as % Gross domestic product (GDP),GGE como% del producto interno bruto (PIB),General Government Expenditure (GGE) as % Gross domestic product (Gross Domestic Product (GDP)),Gasto del gobierno general (GGE) como% del producto interno bruto (Producto interno bruto (PIB)),pct
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,gge_pc_ppp,GGE in constant (2018) PPP per capita,GGE en PPA per cápita constante (2018),General Government Expenditure (GGE) in constant (2018) PPP per capita,Gasto del Gobierno General (GGE) en PPA per cápita constante (2018),number
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,gge_pc_us,GGE in constant (2018) US$ per capita,GGE en dólares constantes (2018) per cápita,General Government Expenditure (GGE) in constant (2018) US$ per capita,Gasto del gobierno general (GEI) en dólares estadounidenses constantes (2018) per cápita,number
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,gge_ppp,GGE in million constant (2018) PPP,GGE en millones PPA constante (2018),General Government Expenditure (GGE) in million constant (2018) PPP,Gasto del Gobierno General (GGE) en millones PPA constante (2018),number
Demographic and Health Surveys,Health Secondary Data Indicators,health,salud,gge_us,GGE in million constant (2018) US$,GGE en millones constantes (2018) US $,General Government Expenditure (GGE) in million constant (2018) US$,Gasto del Gobierno General (GEI) en millones de dólares constantes (2018),number
